
RK4 output (N = 100)
t =     0   y =         8   
t =     6   y = 7.9872388   
t =    12   y = 7.9744434   
t =    18   y = 7.9616176   
t =    24   y = 7.9487612   
t =    30   y =  7.935874   
t =    36   y =  7.922956   
t =    42   y = 7.9100067   
t =    48   y = 7.8970262   
t =    54   y =  7.884014   
t =    60   y = 7.8709702   
t =    66   y = 7.8578943   
t =    72   y = 7.8447863   
t =    78   y = 7.8316459   
t =    84   y = 7.8184729   
t =    90   y =  7.805267   
t =    96   y = 7.7920282   
t =   102   y = 7.7787561   
t =   108   y = 7.7654505   
t =   114   y = 7.7521112   
t =   120   y = 7.7387379   
t =   126   y = 7.7253305   
t =   132   y = 7.7118887   
t =   138   y = 7.6984122   
t =   144   y = 7.6849009   
t =   150   y = 7.6713545   
t =   156   y = 7.6577727   
t =   162   y = 7.6441552   
t =   168   y =  7.630502   
t =   174   y = 7.6168126   
t =   180   y = 7.6030868   
t =   186   y = 7.5893244   
t =   192   y = 7.5755251   
t =   198   y = 7.5616887   
t =   204   y = 7.5478149   
t =   210   y = 7.5339033   
t =   216   y = 7.5199538   
t =   222   y =  7.505966   
t =   228   y = 7.4919397   
t =   234   y = 7.4778746   
t =   240   y = 7.4637704   
t =   246   y = 7.4496269   
t =   252   y = 7.4354436   
t =   258   y = 7.4212203   
t =   264   y = 7.4069568   
t =   270   y = 7.3926526   
t =   276   y = 7.3783076   
t =   282   y = 7.3639214   
t =   288   y = 7.3494936   
t =   294   y =  7.335024   
t =   300   y = 7.3205121   
t =   306   y = 7.3059578   
t =   312   y = 7.2913607   
t =   318   y = 7.2767203   
t =   324   y = 7.2620365   
t =   330   y = 7.2473088   
t =   336   y = 7.2325368   
t =   342   y = 7.2177203   
t =   348   y = 7.2028588   
t =   354   y = 7.1879521   
t =   360   y = 7.1729996   
t =   366   y = 7.1580012   
t =   372   y = 7.1429563   
t =   378   y = 7.1278646   
t =   384   y = 7.1127256   
t =   390   y = 7.0975391   
t =   396   y = 7.0823046   
t =   402   y = 7.0670217   
t =   408   y =   7.05169   
t =   414   y =  7.036309   
t =   420   y = 7.0208783   
t =   426   y = 7.0053976   
t =   432   y = 6.9898664   
t =   438   y = 6.9742841   
t =   444   y = 6.9586505   
t =   450   y =  6.942965   
t =   456   y = 6.9272271   
t =   462   y = 6.9114365   
t =   468   y = 6.8955926   
t =   474   y = 6.8796949   
t =   480   y =  6.863743   
t =   486   y = 6.8477363   
t =   492   y = 6.8316744   
t =   498   y = 6.8155567   
t =   504   y = 6.7993827   
t =   510   y = 6.7831519   
t =   516   y = 6.7668638   
t =   522   y = 6.7505178   
t =   528   y = 6.7341134   
t =   534   y = 6.7176499   
t =   540   y = 6.7011269   
t =   546   y = 6.6845438   
t =   552   y = 6.6678999   
t =   558   y = 6.6511946   
t =   564   y = 6.6344275   
t =   570   y = 6.6175978   
t =   576   y = 6.6007049   
t =   582   y = 6.5837482   
t =   588   y =  6.566727   
t =   594   y = 6.5496407   
t =   600   y = 6.5324886   
